c,"maxiter, (maxiter +1)* [itr, n, m, tri, tet, K5, D, E]"
1.2700000000000002,"[7, 0, 1500, 36874, 19657, 245, 0, 12302, 9905, 1, 1500, 26969, 9559, 52, 0, 6039, 4821, 2, 1500, 22148, 4697, 11, 0, 3679, 2746, 3, 1500, 19402, 1943, 3, 0, 2000, 1350, 4, 1500, 18052, 591, 1, 0, 804, 486, 5, 1500, 17566, 104, 0, 0, 194, 100, 6, 1500, 17466, 4, 0, 0, 12, 4, 7, 1500, 17462, 0, 0, 0, 0, 0]"
1.2800000000000002,"[8, 0, 1500, 37335, 20761, 302, 1, 12178, 9910, 1, 1500, 27425, 10621, 71, 0, 6093, 4952, 2, 1500, 22473, 5624, 26, 0, 3835, 2959, 3, 1500, 19514, 2646, 7, 0, 2319, 1652, 4, 1500, 17862, 989, 2, 0, 1163, 762, 5, 1500, 17100, 225, 0, 0, 360, 198, 6, 1500, 16902, 27, 0, 0, 57, 25, 7, 1500, 16877, 2, 0, 0, 6, 2, 8, 1500, 16875, 0, 0, 0, 0, 0]"
1.2900000000000003,"[8, 0, 1500, 37568, 21219, 279, 0, 11921, 9809, 1, 1500, 27759, 11196, 65, 0, 6052, 4954, 2, 1500, 22805, 6193, 16, 0, 3861, 3051, 3, 1500, 19754, 3132, 6, 0, 2530, 1863, 4, 1500, 17891, 1264, 1, 0, 1404, 919, 5, 1500, 16972, 344, 0, 0, 483, 285, 6, 1500, 16687, 59, 0, 0, 85, 49, 7, 1500, 16638, 10, 0, 0, 16, 10, 8, 1500, 16628, 0, 0, 0, 0, 0]"
1.3000000000000003,"[8, 0, 1500, 37601, 21106, 312, 0, 12033, 9841, 1, 1500, 27760, 11023, 70, 0, 5958, 4860, 2, 1500, 22900, 6113, 20, 0, 3859, 3087, 3, 1500, 19813, 3009, 3, 0, 2550, 1870, 4, 1500, 17943, 1136, 0, 0, 1317, 858, 5, 1500, 17085, 278, 0, 0, 416, 231, 6, 1500, 16854, 47, 0, 0, 71, 37, 7, 1500, 16817, 10, 0, 0, 6, 2, 8, 1500, 16815, 8, 0, 0, 0, 0]"
1.3100000000000003,"[9, 0, 1500, 38136, 21834, 290, 0, 12199, 10045, 1, 1500, 28091, 11579, 80, 0, 6108, 5051, 2, 1500, 23040, 6473, 25, 0, 4006, 3168, 3, 1500, 19872, 3283, 3, 0, 2627, 1953, 4, 1500, 17919, 1328, 1, 0, 1441, 949, 5, 1500, 16970, 379, 1, 0, 559, 319, 6, 1500, 16651, 59, 0, 0, 101, 51, 7, 1500, 16600, 8, 0, 0, 10, 6, 8, 1500, 16594, 2, 0, 0, 6, 2, 9, 1500, 16592, 0, 0, 0, 0, 0]"
1.3200000000000003,"[8, 0, 1500, 38412, 22635, 357, 0, 11944, 10005, 1, 1500, 28407, 12371, 98, 0, 6028, 5069, 2, 1500, 23338, 7237, 33, 0, 4051, 3294, 3, 1500, 20044, 3922, 12, 0, 2774, 2138, 4, 1500, 17906, 1775, 3, 0, 1673, 1178, 5, 1500, 16728, 594, 0, 0, 785, 477, 6, 1500, 16251, 117, 0, 0, 206, 108, 7, 1500, 16143, 9, 0, 0, 23, 9, 8, 1500, 16134, 0, 0, 0, 0, 0]"
1.3300000000000003,"[8, 0, 1500, 38862, 23351, 381, 0, 12060, 10067, 1, 1500, 28795, 13022, 119, 0, 5962, 5050, 2, 1500, 23745, 7889, 36, 0, 3975, 3302, 3, 1500, 20443, 4562, 11, 0, 2848, 2256, 4, 1500, 18187, 2298, 3, 0, 1945, 1434, 5, 1500, 16753, 861, 0, 0, 981, 633, 6, 1500, 16120, 228, 0, 0, 336, 189, 7, 1500, 15931, 39, 0, 0, 61, 29, 8, 1500, 15902, 10, 0, 0, 0, 0]"
1.3400000000000003,"[9, 0, 1500, 38962, 23483, 374, 0, 11958, 10030, 1, 1500, 28932, 13183, 104, 0, 5986, 5063, 2, 1500, 23869, 8044, 28, 0, 4054, 3372, 3, 1500, 20497, 4653, 9, 0, 2940, 2296, 4, 1500, 18201, 2349, 1, 0, 1964, 1430, 5, 1500, 16771, 918, 0, 0, 1067, 688, 6, 1500, 16083, 230, 0, 0, 351, 196, 7, 1500, 15887, 34, 0, 0, 63, 30, 8, 1500, 15857, 4, 0, 0, 8, 4, 9, 1500, 15853, 0, 0, 0, 0, 0]"
1.3500000000000003,"[8, 0, 1500, 39226, 23797, 408, 0, 11925, 10077, 1, 1500, 29149, 13442, 130, 0, 6087, 5192, 2, 1500, 23957, 8168, 48, 0, 4174, 3428, 3, 1500, 20529, 4706, 14, 0, 3008, 2371, 4, 1500, 18158, 2326, 5, 0, 1958, 1427, 5, 1500, 16731, 895, 1, 0, 1032, 663, 6, 1500, 16068, 231, 0, 0, 353, 203, 7, 1500, 15865, 28, 0, 0, 74, 28, 8, 1500, 15837, 0, 0, 0, 0, 0]"
1.3600000000000003,"[10, 0, 1500, 39657, 24673, 399, 0, 11881, 10077, 1, 1500, 29580, 14303, 106, 0, 6068, 5187, 2, 1500, 24393, 9049, 39, 0, 4084, 3430, 3, 1500, 20963, 5594, 14, 0, 2972, 2455, 4, 1500, 18508, 3130, 5, 0, 2212, 1678, 5, 1500, 16830, 1448, 1, 0, 1329, 929, 6, 1500, 15901, 519, 1, 0, 603, 371, 7, 1500, 15530, 147, 0, 0, 174, 105, 8, 1500, 15425, 42, 0, 0, 50, 30, 9, 1500, 15395, 12, 0, 0, 8, 4, 10, 1500, 15391, 8, 0, 0, 0, 0]"
1.3700000000000003,"[9, 0, 1500, 39843, 24941, 401, 0, 11778, 10028, 1, 1500, 29815, 14637, 125, 0, 6045, 5187, 2, 1500, 24628, 9376, 51, 0, 4178, 3516, 3, 1500, 21112, 5828, 19, 0, 3113, 2547, 4, 1500, 18565, 3268, 6, 0, 2242, 1724, 5, 1500, 16841, 1538, 0, 0, 1436, 1006, 6, 1500, 15835, 532, 0, 0, 673, 406, 7, 1500, 15429, 126, 0, 0, 185, 93, 8, 1500, 15336, 33, 0, 0, 25, 13, 9, 1500, 15323, 20, 0, 0, 0, 0]"
