c,"maxiter, (maxiter +1)* [itr, n, m, tri, tet, K5, D, E]"
1.6500000000000006,"[50, 0, 1500, 47995, 43686, 1263, 1, 9069, 8463, 1, 1500, 39532, 34731, 770, 0, 3505, 3357, 2, 1500, 36175, 31219, 615, 0, 1794, 1757, 3, 1500, 34418, 29395, 548, 0, 1068, 1050, 4, 1500, 33368, 28299, 502, 0, 674, 664, 5, 1500, 32704, 27622, 489, 0, 463, 460, 6, 1500, 32244, 27147, 474, 0, 312, 311, 7, 1500, 31933, 26820, 458, 0, 228, 227, 8, 1500, 31706, 26586, 451, 0, 157, 157, 9, 1500, 31549, 26422, 444, 0, 131, 131, 10, 1500, 31418, 26289, 442, 0, 100, 99, 11, 1500, 31319, 26186, 438, 0, 83, 83, 12, 1500, 31236, 26099, 434, 0, 57, 57, 13, 1500, 31179, 26040, 432, 0, 40, 38, 14, 1500, 31141, 26000, 430, 0, 33, 33, 15, 1500, 31108, 25967, 430, 0, 26, 26, 16, 1500, 31082, 25939, 428, 0, 22, 22, 17, 1500, 31060, 25917, 428, 0, 13, 13, 18, 1500, 31047, 25904, 428, 0, 9, 9, 19, 1500, 31038, 25894, 427, 0, 8, 8, 20, 1500, 31030, 25886, 427, 0, 3, 3, 21, 1500, 31027, 25883, 427, 0, 4, 4, 22, 1500, 31023, 25879, 427, 0, 4, 4, 23, 1500, 31019, 25875, 427, 0, 5, 5, 24, 1500, 31014, 25870, 427, 0, 1, 1, 25, 1500, 31013, 25869, 427, 0, 1, 1, 26, 1500, 31012, 25868, 427, 0, 1, 1, 27, 1500, 31011, 25867, 427, 0, 1, 1, 28, 1500, 31010, 25866, 427, 0, 2, 2, 29, 1500, 31008, 25864, 427, 0, 1, 1, 30, 1500, 31007, 25863, 427, 0, 2, 2, 31, 1500, 31005, 25861, 427, 0, 3, 3, 32, 1500, 31002, 25858, 427, 0, 3, 3, 33, 1500, 30999, 25855, 427, 0, 4, 4, 34, 1500, 30995, 25851, 427, 0, 4, 4, 35, 1500, 30991, 25847, 427, 0, 3, 3, 36, 1500, 30988, 25844, 427, 0, 3, 3, 37, 1500, 30985, 25841, 427, 0, 2, 2, 38, 1500, 30983, 25839, 427, 0, 2, 2, 39, 1500, 30981, 25837, 427, 0, 1, 1, 40, 1500, 30980, 25836, 427, 0, 1, 1, 41, 1500, 30979, 25835, 427, 0, 1, 1, 42, 1500, 30978, 25834, 427, 0, 2, 2, 43, 1500, 30976, 25832, 427, 0, 1, 1, 44, 1500, 30975, 25831, 427, 0, 2, 2, 45, 1500, 30973, 25829, 427, 0, 2, 2, 46, 1500, 30971, 25827, 427, 0, 2, 2, 47, 1500, 30969, 25825, 427, 0, 2, 2, 48, 1500, 30967, 25823, 427, 0, 2, 2, 49, 1500, 30965, 25821, 427, 0, 1, 1, 50, 1500, 30964, 25820, 427, 0, 0, 0]"
1.6600000000000006,"[25, 0, 1500, 48170, 44343, 1349, 0, 8836, 8238, 1, 1500, 39932, 35573, 817, 0, 3340, 3219, 2, 1500, 36713, 32191, 654, 0, 1735, 1703, 3, 1500, 35010, 30412, 578, 0, 1052, 1033, 4, 1500, 33977, 29343, 542, 0, 665, 656, 5, 1500, 33321, 28666, 521, 0, 435, 429, 6, 1500, 32892, 28213, 497, 0, 291, 286, 7, 1500, 32606, 27919, 489, 0, 184, 182, 8, 1500, 32424, 27732, 484, 0, 133, 132, 9, 1500, 32292, 27595, 479, 0, 86, 85, 10, 1500, 32207, 27508, 477, 0, 63, 62, 11, 1500, 32145, 27445, 476, 0, 49, 49, 12, 1500, 32096, 27393, 473, 0, 45, 45, 13, 1500, 32051, 27347, 472, 0, 44, 44, 14, 1500, 32007, 27301, 470, 0, 29, 29, 15, 1500, 31978, 27272, 470, 0, 19, 19, 16, 1500, 31959, 27252, 469, 0, 13, 13, 17, 1500, 31946, 27239, 469, 0, 8, 8, 18, 1500, 31938, 27230, 468, 0, 6, 6, 19, 1500, 31932, 27223, 467, 0, 6, 6, 20, 1500, 31926, 27216, 466, 0, 2, 2, 21, 1500, 31924, 27214, 466, 0, 2, 2, 22, 1500, 31922, 27212, 466, 0, 2, 2, 23, 1500, 31920, 27210, 466, 0, 1, 1, 24, 1500, 31919, 27209, 466, 0, 1, 1, 25, 1500, 31918, 27208, 466, 0, 0, 0]"
1.6700000000000006,"[18, 0, 1500, 48525, 45595, 1366, 4, 8787, 8191, 1, 1500, 40334, 36902, 862, 2, 3069, 2968, 2, 1500, 37366, 33778, 706, 2, 1509, 1488, 3, 1500, 35878, 32239, 655, 2, 863, 855, 4, 1500, 35023, 31354, 625, 2, 549, 545, 5, 1500, 34478, 30788, 603, 1, 318, 315, 6, 1500, 34163, 30461, 591, 1, 217, 214, 7, 1500, 33949, 30245, 589, 1, 139, 137, 8, 1500, 33812, 30101, 582, 1, 101, 100, 9, 1500, 33712, 29997, 578, 1, 73, 73, 10, 1500, 33639, 29919, 573, 1, 46, 46, 11, 1500, 33593, 29871, 571, 1, 21, 21, 12, 1500, 33572, 29849, 570, 1, 14, 14, 13, 1500, 33558, 29835, 570, 1, 10, 10, 14, 1500, 33548, 29824, 569, 1, 3, 3, 15, 1500, 33545, 29821, 569, 1, 1, 1, 16, 1500, 33544, 29820, 569, 1, 1, 1, 17, 1500, 33543, 29819, 569, 1, 1, 1, 18, 1500, 33542, 29818, 569, 1, 0, 0]"
1.6800000000000006,"[18, 0, 1500, 49050, 46686, 1442, 1, 8595, 8089, 1, 1500, 40961, 38072, 917, 1, 3136, 3034, 2, 1500, 37927, 34897, 776, 1, 1563, 1535, 3, 1500, 36392, 33288, 702, 1, 844, 834, 4, 1500, 35558, 32417, 665, 1, 503, 498, 5, 1500, 35060, 31907, 653, 1, 302, 301, 6, 1500, 34759, 31590, 637, 1, 202, 199, 7, 1500, 34560, 31383, 629, 1, 118, 118, 8, 1500, 34442, 31262, 626, 1, 77, 76, 9, 1500, 34366, 31183, 623, 1, 39, 39, 10, 1500, 34327, 31143, 622, 1, 22, 22, 11, 1500, 34305, 31120, 621, 1, 17, 17, 12, 1500, 34288, 31103, 621, 1, 14, 14, 13, 1500, 34274, 31088, 620, 1, 8, 8, 14, 1500, 34266, 31078, 618, 1, 7, 7, 15, 1500, 34259, 31071, 618, 1, 5, 5, 16, 1500, 34254, 31066, 618, 1, 2, 2, 17, 1500, 34252, 31064, 618, 1, 1, 1, 18, 1500, 34251, 31063, 618, 1, 0, 0]"
1.6900000000000006,"[15, 0, 1500, 49277, 47050, 1495, 0, 8654, 8106, 1, 1500, 41171, 38399, 950, 0, 3080, 2978, 2, 1500, 38193, 35269, 798, 0, 1427, 1405, 3, 1500, 36788, 33799, 733, 0, 797, 782, 4, 1500, 36006, 32989, 705, 0, 462, 460, 5, 1500, 35546, 32511, 687, 0, 275, 275, 6, 1500, 35271, 32225, 676, 0, 160, 158, 7, 1500, 35113, 32062, 671, 0, 105, 105, 8, 1500, 35008, 31953, 667, 0, 65, 65, 9, 1500, 34943, 31887, 666, 0, 47, 47, 10, 1500, 34896, 31838, 664, 0, 28, 28, 11, 1500, 34868, 31810, 664, 0, 21, 21, 12, 1500, 34847, 31788, 663, 0, 8, 8, 13, 1500, 34839, 31780, 663, 0, 6, 6, 14, 1500, 34833, 31774, 663, 0, 3, 3, 15, 1500, 34830, 31771, 663, 0, 0, 0]"
1.7000000000000006,"[18, 0, 1500, 49768, 48928, 1573, 5, 8217, 7747, 1, 1500, 42021, 40587, 978, 4, 2783, 2700, 2, 1500, 39321, 37750, 840, 3, 1246, 1224, 3, 1500, 38097, 36470, 784, 3, 638, 631, 4, 1500, 37466, 35814, 758, 2, 348, 344, 5, 1500, 37122, 35455, 743, 2, 192, 191, 6, 1500, 36931, 35260, 739, 2, 108, 107, 7, 1500, 36824, 35150, 736, 2, 56, 56, 8, 1500, 36768, 35090, 732, 2, 41, 41, 9, 1500, 36727, 35047, 730, 2, 24, 24, 10, 1500, 36703, 35023, 730, 2, 18, 18, 11, 1500, 36685, 35005, 730, 2, 15, 15, 12, 1500, 36670, 34989, 729, 2, 13, 12, 13, 1500, 36658, 34976, 728, 2, 5, 5, 14, 1500, 36653, 34971, 728, 2, 2, 2, 15, 1500, 36651, 34969, 728, 2, 1, 1, 16, 1500, 36650, 34968, 728, 2, 2, 2, 17, 1500, 36648, 34966, 728, 2, 1, 1, 18, 1500, 36647, 34965, 728, 2, 0, 0]"
1.7100000000000006,"[18, 0, 1500, 49529, 48227, 1616, 3, 8496, 7993, 1, 1500, 41536, 39633, 1014, 2, 2865, 2787, 2, 1500, 38749, 36696, 863, 1, 1314, 1281, 3, 1500, 37468, 35344, 792, 1, 679, 677, 4, 1500, 36791, 34632, 757, 1, 375, 373, 5, 1500, 36418, 34241, 739, 1, 238, 236, 6, 1500, 36182, 33999, 733, 1, 148, 147, 7, 1500, 36035, 33850, 731, 1, 105, 105, 8, 1500, 35930, 33742, 728, 1, 63, 63, 9, 1500, 35867, 33678, 727, 1, 45, 45, 10, 1500, 35822, 33632, 726, 1, 18, 18, 11, 1500, 35804, 33613, 725, 1, 11, 11, 12, 1500, 35793, 33600, 723, 1, 4, 4, 13, 1500, 35789, 33596, 723, 1, 2, 2, 14, 1500, 35787, 33594, 723, 1, 1, 1, 15, 1500, 35786, 33593, 723, 1, 1, 1, 16, 1500, 35785, 33592, 723, 1, 1, 1, 17, 1500, 35784, 33591, 723, 1, 1, 1, 18, 1500, 35783, 33590, 723, 1, 0, 0]"
1.7200000000000006,"[17, 0, 1500, 49607, 48044, 1575, 4, 8533, 8011, 1, 1500, 41596, 39467, 1005, 0, 2937, 2866, 2, 1500, 38730, 36463, 867, 0, 1356, 1337, 3, 1500, 37393, 35058, 799, 0, 741, 734, 4, 1500, 36659, 34285, 760, 0, 426, 422, 5, 1500, 36237, 33840, 737, 0, 242, 241, 6, 1500, 35996, 33580, 718, 0, 129, 129, 7, 1500, 35867, 33448, 715, 0, 90, 90, 8, 1500, 35777, 33354, 711, 0, 54, 54, 9, 1500, 35723, 33296, 707, 0, 32, 32, 10, 1500, 35691, 33262, 705, 0, 19, 19, 11, 1500, 35672, 33241, 703, 0, 6, 6, 12, 1500, 35666, 33235, 703, 0, 3, 3, 13, 1500, 35663, 33232, 703, 0, 4, 4, 14, 1500, 35659, 33228, 703, 0, 2, 2, 15, 1500, 35657, 33226, 703, 0, 1, 1, 16, 1500, 35656, 33225, 703, 0, 1, 1, 17, 1500, 35655, 33224, 703, 0, 0, 0]"
1.7300000000000006,"[17, 0, 1500, 50321, 50356, 1677, 1, 7991, 7581, 1, 1500, 42740, 42210, 1112, 1, 2692, 2631, 2, 1500, 40109, 39450, 983, 1, 1145, 1130, 3, 1500, 38979, 38263, 925, 0, 548, 542, 4, 1500, 38437, 37696, 900, 0, 290, 288, 5, 1500, 38149, 37392, 884, 0, 166, 166, 6, 1500, 37983, 37220, 878, 0, 91, 91, 7, 1500, 37892, 37123, 872, 0, 61, 61, 8, 1500, 37831, 37059, 869, 0, 46, 46, 9, 1500, 37785, 37013, 869, 0, 23, 23, 10, 1500, 37762, 36988, 867, 0, 10, 10, 11, 1500, 37752, 36976, 865, 0, 4, 4, 12, 1500, 37748, 36971, 864, 0, 2, 2, 13, 1500, 37746, 36968, 863, 0, 1, 1, 14, 1500, 37745, 36967, 863, 0, 1, 1, 15, 1500, 37744, 36966, 863, 0, 1, 1, 16, 1500, 37743, 36965, 863, 0, 1, 1, 17, 1500, 37742, 36964, 863, 0, 0, 0]"
1.7400000000000007,"[21, 0, 1500, 50458, 50808, 1674, 2, 7855, 7442, 1, 1500, 43016, 42815, 1123, 2, 2563, 2503, 2, 1500, 40513, 40184, 994, 1, 1106, 1089, 3, 1500, 39424, 39036, 935, 1, 501, 499, 4, 1500, 38925, 38509, 907, 1, 251, 249, 5, 1500, 38676, 38248, 895, 1, 139, 137, 6, 1500, 38539, 38100, 884, 1, 82, 82, 7, 1500, 38457, 38017, 883, 1, 45, 45, 8, 1500, 38412, 37972, 883, 1, 27, 27, 9, 1500, 38385, 37942, 880, 1, 16, 16, 10, 1500, 38369, 37926, 880, 1, 11, 11, 11, 1500, 38358, 37913, 878, 1, 6, 6, 12, 1500, 38352, 37906, 877, 1, 2, 2, 13, 1500, 38350, 37904, 877, 1, 1, 1, 14, 1500, 38349, 37903, 877, 1, 2, 2, 15, 1500, 38347, 37901, 877, 1, 1, 1, 16, 1500, 38346, 37900, 877, 1, 1, 1, 17, 1500, 38345, 37899, 877, 1, 1, 1, 18, 1500, 38344, 37898, 877, 1, 2, 2, 19, 1500, 38342, 37896, 877, 1, 1, 1, 20, 1500, 38341, 37895, 877, 1, 1, 1, 21, 1500, 38340, 37894, 877, 1, 0, 0]"
1.7500000000000007,"[12, 0, 1500, 51029, 52872, 1844, 2, 7652, 7254, 1, 1500, 43775, 45068, 1293, 1, 2383, 2329, 2, 1500, 41446, 42585, 1139, 1, 964, 962, 3, 1500, 40484, 41561, 1077, 1, 458, 452, 4, 1500, 40032, 41081, 1049, 1, 226, 226, 5, 1500, 39806, 40840, 1034, 1, 99, 99, 6, 1500, 39707, 40738, 1031, 1, 58, 58, 7, 1500, 39649, 40678, 1029, 1, 24, 24, 8, 1500, 39625, 40654, 1029, 1, 18, 17, 9, 1500, 39608, 40637, 1029, 1, 5, 5, 10, 1500, 39603, 40632, 1029, 1, 1, 1, 11, 1500, 39602, 40631, 1029, 1, 1, 1, 12, 1500, 39601, 40630, 1029, 1, 0, 0]"
1.7600000000000007,"[15, 0, 1500, 51147, 52816, 1861, 2, 7633, 7297, 1, 1500, 43850, 44952, 1293, 1, 2400, 2349, 2, 1500, 41501, 42459, 1149, 1, 993, 978, 3, 1500, 40523, 41428, 1096, 1, 492, 486, 4, 1500, 40037, 40917, 1071, 1, 220, 220, 5, 1500, 39817, 40685, 1059, 1, 120, 120, 6, 1500, 39697, 40556, 1050, 1, 63, 62, 7, 1500, 39635, 40491, 1047, 1, 36, 36, 8, 1500, 39599, 40453, 1045, 1, 17, 17, 9, 1500, 39582, 40435, 1044, 1, 9, 9, 10, 1500, 39573, 40424, 1042, 1, 5, 5, 11, 1500, 39568, 40418, 1041, 1, 1, 1, 12, 1500, 39567, 40417, 1041, 1, 1, 1, 13, 1500, 39566, 40416, 1041, 1, 1, 1, 14, 1500, 39565, 40415, 1041, 1, 1, 1, 15, 1500, 39564, 40414, 1041, 1, 0, 0]"
1.7700000000000007,"[15, 0, 1500, 51439, 53463, 1820, 4, 7732, 7313, 1, 1500, 44126, 45603, 1272, 3, 2432, 2385, 2, 1500, 41741, 43067, 1120, 2, 1004, 997, 3, 1500, 40744, 42010, 1060, 2, 452, 449, 4, 1500, 40295, 41532, 1031, 2, 227, 227, 5, 1500, 40068, 41296, 1022, 2, 109, 109, 6, 1500, 39959, 41183, 1018, 2, 58, 58, 7, 1500, 39901, 41124, 1017, 2, 30, 30, 8, 1500, 39871, 41094, 1017, 2, 19, 19, 9, 1500, 39852, 41073, 1015, 2, 8, 8, 10, 1500, 39844, 41065, 1015, 2, 5, 5, 11, 1500, 39839, 41060, 1015, 2, 3, 3, 12, 1500, 39836, 41057, 1015, 2, 1, 1, 13, 1500, 39835, 41056, 1015, 2, 1, 1, 14, 1500, 39834, 41055, 1015, 2, 1, 1, 15, 1500, 39833, 41054, 1015, 2, 0, 0]"
1.7800000000000007,"[13, 0, 1500, 51932, 54891, 1978, 5, 7422, 7090, 1, 1500, 44842, 47228, 1400, 0, 2213, 2169, 2, 1500, 42673, 44936, 1277, 0, 845, 832, 3, 1500, 41841, 44049, 1222, 0, 357, 354, 4, 1500, 41487, 43679, 1206, 0, 155, 155, 5, 1500, 41332, 43519, 1201, 0, 82, 82, 6, 1500, 41250, 43435, 1199, 0, 42, 42, 7, 1500, 41208, 43393, 1199, 0, 23, 23, 8, 1500, 41185, 43369, 1198, 0, 7, 7, 9, 1500, 41178, 43362, 1198, 0, 7, 7, 10, 1500, 41171, 43353, 1196, 0, 3, 3, 11, 1500, 41168, 43350, 1196, 0, 4, 4, 12, 1500, 41164, 43346, 1196, 0, 1, 1, 13, 1500, 41163, 43345, 1196, 0, 0, 0]"
1.7900000000000007,"[10, 0, 1500, 52030, 55430, 1981, 3, 7340, 7009, 1, 1500, 45021, 47819, 1378, 2, 2145, 2109, 2, 1500, 42912, 45575, 1242, 1, 795, 788, 3, 1500, 42124, 44743, 1198, 1, 331, 331, 4, 1500, 41793, 44393, 1179, 1, 159, 158, 5, 1500, 41635, 44228, 1172, 1, 71, 71, 6, 1500, 41564, 44151, 1166, 1, 37, 37, 7, 1500, 41527, 44113, 1165, 1, 15, 15, 8, 1500, 41512, 44098, 1165, 1, 5, 5, 9, 1500, 41507, 44093, 1165, 1, 1, 1, 10, 1500, 41506, 44092, 1165, 1, 0, 0]"
1.8000000000000007,"[10, 0, 1500, 52315, 56624, 2114, 2, 7136, 6814, 1, 1500, 45501, 49284, 1588, 2, 2076, 2037, 2, 1500, 43464, 47103, 1443, 1, 764, 755, 3, 1500, 42709, 46291, 1386, 1, 352, 351, 4, 1500, 42358, 45919, 1365, 1, 152, 151, 5, 1500, 42207, 45759, 1356, 1, 77, 77, 6, 1500, 42130, 45679, 1353, 1, 36, 36, 7, 1500, 42094, 45639, 1349, 1, 20, 20, 8, 1500, 42074, 45618, 1348, 1, 10, 10, 9, 1500, 42064, 45608, 1348, 1, 2, 2, 10, 1500, 42062, 45606, 1348, 1, 0, 0]"
1.8100000000000007,"[14, 0, 1500, 52206, 56390, 2139, 3, 7232, 6954, 1, 1500, 45252, 48841, 1542, 1, 2085, 2052, 2, 1500, 43200, 46649, 1402, 1, 823, 819, 3, 1500, 42381, 45777, 1349, 1, 329, 328, 4, 1500, 42053, 45432, 1332, 1, 138, 138, 5, 1500, 41915, 45286, 1324, 1, 62, 62, 6, 1500, 41853, 45218, 1318, 1, 31, 31, 7, 1500, 41822, 45185, 1316, 1, 17, 17, 8, 1500, 41805, 45166, 1314, 1, 6, 6, 9, 1500, 41799, 45160, 1314, 1, 2, 2, 10, 1500, 41797, 45158, 1314, 1, 2, 2, 11, 1500, 41795, 45156, 1314, 1, 1, 1, 12, 1500, 41794, 45155, 1314, 1, 2, 2, 13, 1500, 41792, 45153, 1314, 1, 2, 2, 14, 1500, 41790, 45151, 1314, 1, 0, 0]"
1.8200000000000007,"[11, 0, 1500, 52580, 57070, 2119, 0, 7177, 6858, 1, 1500, 45722, 49616, 1523, 0, 1974, 1941, 2, 1500, 43781, 47530, 1378, 0, 735, 732, 3, 1500, 43049, 46749, 1329, 0, 292, 289, 4, 1500, 42760, 46453, 1322, 0, 150, 149, 5, 1500, 42611, 46298, 1316, 0, 62, 62, 6, 1500, 42549, 46231, 1311, 0, 25, 25, 7, 1500, 42524, 46206, 1311, 0, 16, 16, 8, 1500, 42508, 46187, 1308, 0, 3, 3, 9, 1500, 42505, 46184, 1308, 0, 4, 4, 10, 1500, 42501, 46178, 1306, 0, 1, 1, 11, 1500, 42500, 46175, 1304, 0, 0, 0]"
1.8300000000000007,"[10, 0, 1500, 53157, 59352, 2392, 3, 6841, 6562, 1, 1500, 46595, 52187, 1787, 1, 1825, 1796, 2, 1500, 44799, 50250, 1646, 1, 635, 634, 3, 1500, 44165, 49570, 1600, 1, 229, 229, 4, 1500, 43936, 49328, 1587, 1, 86, 86, 5, 1500, 43850, 49239, 1584, 1, 40, 39, 6, 1500, 43811, 49197, 1581, 1, 19, 19, 7, 1500, 43792, 49175, 1578, 1, 8, 8, 8, 1500, 43784, 49166, 1577, 1, 1, 1, 9, 1500, 43783, 49165, 1577, 1, 1, 1, 10, 1500, 43782, 49164, 1577, 1, 0, 0]"
1.8400000000000007,"[10, 0, 1500, 53554, 60916, 2451, 1, 6570, 6316, 1, 1500, 47238, 54004, 1855, 1, 1696, 1662, 2, 1500, 45576, 52200, 1712, 0, 510, 508, 3, 1500, 45068, 51651, 1671, 0, 200, 200, 4, 1500, 44868, 51440, 1660, 0, 66, 66, 5, 1500, 44802, 51371, 1657, 0, 23, 23, 6, 1500, 44779, 51346, 1655, 0, 12, 12, 7, 1500, 44767, 51333, 1654, 0, 4, 4, 8, 1500, 44763, 51329, 1654, 0, 3, 3, 9, 1500, 44760, 51326, 1654, 0, 1, 1, 10, 1500, 44759, 51325, 1654, 0, 0, 0]"
1.8500000000000008,"[11, 0, 1500, 53491, 60228, 2314, 3, 6645, 6380, 1, 1500, 47111, 53320, 1786, 3, 1757, 1733, 2, 1500, 45378, 51448, 1646, 2, 599, 597, 3, 1500, 44781, 50805, 1600, 2, 241, 240, 4, 1500, 44541, 50547, 1581, 1, 96, 96, 5, 1500, 44445, 50447, 1577, 1, 27, 27, 6, 1500, 44418, 50419, 1576, 1, 9, 9, 7, 1500, 44409, 50410, 1576, 1, 2, 2, 8, 1500, 44407, 50408, 1576, 1, 1, 1, 9, 1500, 44406, 50407, 1576, 1, 1, 1, 10, 1500, 44405, 50406, 1576, 1, 1, 1, 11, 1500, 44404, 50405, 1576, 1, 0, 0]"
1.8600000000000008,"[13, 0, 1500, 53775, 61333, 2495, 5, 6669, 6418, 1, 1500, 47357, 54277, 1854, 2, 1740, 1714, 2, 1500, 45643, 52423, 1714, 2, 569, 563, 3, 1500, 45080, 51800, 1654, 2, 170, 169, 4, 1500, 44911, 51621, 1644, 2, 59, 59, 5, 1500, 44852, 51558, 1640, 2, 20, 20, 6, 1500, 44832, 51536, 1638, 2, 8, 8, 7, 1500, 44824, 51528, 1638, 2, 6, 6, 8, 1500, 44818, 51521, 1637, 2, 3, 3, 9, 1500, 44815, 51518, 1637, 2, 2, 2, 10, 1500, 44813, 51516, 1637, 2, 1, 1, 11, 1500, 44812, 51515, 1637, 2, 2, 2, 12, 1500, 44810, 51513, 1637, 2, 1, 1, 13, 1500, 44809, 51512, 1637, 2, 0, 0]"
1.8700000000000008,"[12, 0, 1500, 54253, 63185, 2617, 2, 6347, 6120, 1, 1500, 48133, 56482, 2034, 2, 1594, 1583, 2, 1500, 46550, 54754, 1889, 2, 491, 490, 3, 1500, 46060, 54233, 1858, 2, 184, 184, 4, 1500, 45876, 54037, 1846, 2, 71, 71, 5, 1500, 45805, 53961, 1841, 2, 24, 24, 6, 1500, 45781, 53936, 1840, 2, 13, 13, 7, 1500, 45768, 53923, 1840, 2, 6, 6, 8, 1500, 45762, 53916, 1839, 2, 2, 2, 9, 1500, 45760, 53914, 1839, 2, 1, 1, 10, 1500, 45759, 53913, 1839, 2, 1, 1, 11, 1500, 45758, 53912, 1839, 2, 1, 1, 12, 1500, 45757, 53911, 1839, 2, 0, 0]"
1.8800000000000008,"[10, 0, 1500, 54964, 65302, 2824, 3, 6041, 5852, 1, 1500, 49112, 58848, 2221, 2, 1463, 1443, 2, 1500, 47669, 57271, 2087, 2, 395, 394, 3, 1500, 47275, 56850, 2060, 2, 123, 123, 4, 1500, 47152, 56721, 2054, 2, 35, 35, 5, 1500, 47117, 56684, 2052, 2, 13, 13, 6, 1500, 47104, 56671, 2052, 2, 5, 5, 7, 1500, 47099, 56666, 2052, 2, 1, 1, 8, 1500, 47098, 56665, 2052, 2, 1, 1, 9, 1500, 47097, 56664, 2052, 2, 1, 1, 10, 1500, 47096, 56662, 2051, 2, 0, 0]"
1.8900000000000008,"[10, 0, 1500, 55044, 66134, 2903, 10, 5997, 5797, 1, 1500, 49247, 59760, 2323, 7, 1331, 1318, 2, 1500, 47929, 58303, 2182, 5, 377, 373, 3, 1500, 47556, 57912, 2164, 5, 109, 109, 4, 1500, 47447, 57793, 2154, 5, 32, 32, 5, 1500, 47415, 57758, 2151, 5, 13, 13, 6, 1500, 47402, 57744, 2150, 5, 5, 5, 7, 1500, 47397, 57739, 2150, 5, 2, 2, 8, 1500, 47395, 57737, 2150, 5, 2, 2, 9, 1500, 47393, 57735, 2150, 5, 1, 1, 10, 1500, 47392, 57734, 2150, 5, 0, 0]"
1.9000000000000008,"[9, 0, 1500, 54955, 65399, 2829, 2, 6086, 5891, 1, 1500, 49064, 58921, 2241, 1, 1455, 1440, 2, 1500, 47624, 57355, 2115, 1, 412, 411, 3, 1500, 47213, 56899, 2070, 1, 124, 124, 4, 1500, 47089, 56762, 2057, 1, 44, 44, 5, 1500, 47045, 56714, 2052, 0, 16, 16, 6, 1500, 47029, 56697, 2051, 0, 4, 4, 7, 1500, 47025, 56693, 2051, 0, 2, 2, 8, 1500, 47023, 56691, 2051, 0, 1, 1, 9, 1500, 47022, 56690, 2051, 0, 0, 0]"
1.9100000000000008,"[7, 0, 1500, 55275, 66403, 2818, 5, 5944, 5735, 1, 1500, 49540, 60049, 2198, 4, 1325, 1310, 2, 1500, 48230, 58614, 2072, 3, 379, 378, 3, 1500, 47852, 58211, 2047, 3, 126, 126, 4, 1500, 47726, 58076, 2038, 3, 45, 45, 5, 1500, 47681, 58028, 2035, 3, 12, 12, 6, 1500, 47669, 58011, 2030, 3, 2, 2, 7, 1500, 47667, 58009, 2030, 3, 0, 0]"
1.9200000000000008,"[7, 0, 1500, 56104, 70396, 3354, 5, 5313, 5187, 1, 1500, 50917, 64631, 2774, 3, 1102, 1094, 2, 1500, 49823, 63420, 2657, 3, 306, 306, 3, 1500, 49517, 63082, 2624, 2, 72, 72, 4, 1500, 49445, 63001, 2615, 2, 25, 25, 5, 1500, 49420, 62973, 2612, 2, 11, 11, 6, 1500, 49409, 62961, 2611, 2, 2, 2, 7, 1500, 49407, 62959, 2611, 2, 0, 0]"
1.9300000000000008,"[7, 0, 1500, 55976, 69387, 3158, 5, 5656, 5497, 1, 1500, 50479, 63324, 2591, 4, 1233, 1223, 2, 1500, 49256, 61987, 2477, 4, 317, 316, 3, 1500, 48940, 61637, 2443, 4, 92, 92, 4, 1500, 48848, 61536, 2434, 4, 34, 34, 5, 1500, 48814, 61499, 2431, 4, 5, 5, 6, 1500, 48809, 61494, 2431, 4, 2, 2, 7, 1500, 48807, 61491, 2430, 4, 0, 0]"
1.9400000000000008,"[8, 0, 1500, 56613, 71849, 3432, 7, 5266, 5165, 1, 1500, 51448, 66102, 2849, 6, 1038, 1028, 2, 1500, 50420, 64971, 2746, 6, 272, 272, 3, 1500, 50148, 64669, 2716, 6, 67, 66, 4, 1500, 50082, 64602, 2715, 6, 21, 21, 5, 1500, 50061, 64579, 2713, 6, 3, 3, 6, 1500, 50058, 64576, 2713, 6, 1, 1, 7, 1500, 50057, 64575, 2713, 6, 1, 1, 8, 1500, 50056, 64573, 2712, 6, 0, 0]"
1.9500000000000008,"[7, 0, 1500, 56612, 71099, 3369, 5, 5504, 5372, 1, 1500, 51240, 65109, 2750, 4, 1118, 1111, 2, 1500, 50129, 63869, 2621, 4, 310, 310, 3, 1500, 49819, 63535, 2597, 4, 83, 83, 4, 1500, 49736, 63447, 2592, 4, 32, 32, 5, 1500, 49704, 63415, 2592, 4, 10, 10, 6, 1500, 49694, 63405, 2592, 4, 1, 1, 7, 1500, 49693, 63404, 2592, 4, 0, 0]"
1.9600000000000009,"[7, 0, 1500, 57376, 74828, 3669, 8, 5058, 4929, 1, 1500, 52447, 69312, 3082, 8, 899, 891, 2, 1500, 51556, 68334, 2995, 8, 199, 198, 3, 1500, 51358, 68116, 2975, 8, 45, 45, 4, 1500, 51313, 68065, 2969, 8, 10, 10, 5, 1500, 51303, 68054, 2968, 8, 3, 3, 6, 1500, 51300, 68051, 2968, 8, 1, 1, 7, 1500, 51299, 68050, 2968, 8, 0, 0]"
