n,"maxiter, (maxiter +1)* [itr, n, m, tri, tet, K5, D, E]"
2700,"[8, 0, 2700, 140278, 186806, 7245, 5, 11302, 11089, 1, 2700, 129189, 174716, 6243, 4, 1912, 1909, 2, 2700, 127280, 172672, 6108, 4, 395, 395, 3, 2700, 126885, 172252, 6083, 4, 85, 85, 4, 2700, 126800, 172163, 6079, 4, 24, 24, 5, 2700, 126776, 172138, 6078, 4, 7, 7, 6, 2700, 126769, 172130, 6077, 4, 2, 2, 7, 2700, 126767, 172128, 6077, 4, 1, 1, 8, 2700, 126766, 172127, 6077, 4, 0, 0]"
2800,"[7, 0, 2800, 148380, 198369, 7596, 9, 11726, 11496, 1, 2800, 136884, 185902, 6625, 9, 1956, 1942, 2, 2800, 134942, 183788, 6452, 8, 395, 394, 3, 2800, 134548, 183357, 6415, 8, 87, 87, 4, 2800, 134461, 183263, 6408, 8, 17, 17, 5, 2800, 134444, 183244, 6406, 8, 3, 3, 6, 2800, 134441, 183241, 6406, 8, 1, 1, 7, 2800, 134440, 183240, 6406, 8, 0, 0]"
2900,"[6, 0, 2900, 156695, 210444, 7868, 6, 12370, 12111, 1, 2900, 144584, 197269, 6801, 3, 2022, 2011, 2, 2900, 142573, 195094, 6637, 3, 393, 393, 3, 2900, 142180, 194673, 6609, 3, 86, 86, 4, 2900, 142094, 194583, 6605, 3, 18, 18, 5, 2900, 142076, 194563, 6603, 3, 3, 3, 6, 2900, 142073, 194560, 6603, 3, 0, 0]"
3000,"[9, 0, 3000, 163932, 218010, 7906, 9, 13209, 12949, 1, 3000, 150983, 204025, 6868, 7, 2202, 2186, 2, 3000, 148797, 201665, 6693, 6, 444, 444, 3, 3000, 148353, 201191, 6663, 6, 86, 86, 4, 3000, 148267, 201104, 6662, 6, 22, 22, 5, 3000, 148245, 201082, 6662, 6, 6, 6, 6, 3000, 148239, 201075, 6661, 6, 1, 1, 7, 3000, 148238, 201074, 6661, 6, 2, 2, 8, 3000, 148236, 201072, 6661, 6, 1, 1, 9, 3000, 148235, 201071, 6661, 6, 0, 0]"
3100,"[6, 0, 3100, 172815, 230890, 8385, 8, 13744, 13486, 1, 3100, 159329, 216291, 7270, 6, 2326, 2310, 2, 3100, 157019, 213786, 7075, 6, 463, 463, 3, 3100, 156556, 213285, 7037, 6, 104, 104, 4, 3100, 156452, 213176, 7032, 6, 20, 20, 5, 3100, 156432, 213155, 7031, 6, 2, 2, 6, 3100, 156430, 213153, 7031, 6, 0, 0]"
3200,"[7, 0, 3200, 182130, 246036, 8952, 8, 13760, 13484, 1, 3200, 168646, 231393, 7793, 8, 2226, 2217, 2, 3200, 166429, 229007, 7624, 8, 402, 402, 3, 3200, 166027, 228568, 7587, 8, 87, 87, 4, 3200, 165940, 228476, 7582, 8, 16, 16, 5, 3200, 165924, 228458, 7580, 8, 6, 6, 6, 3200, 165918, 228450, 7578, 8, 2, 2, 7, 3200, 165916, 228448, 7578, 8, 0, 0]"
3300,"[6, 0, 3300, 189267, 251559, 8729, 5, 15043, 14738, 1, 3300, 174529, 235581, 7488, 4, 2453, 2441, 2, 3300, 172088, 232955, 7303, 4, 481, 479, 3, 3300, 171609, 232451, 7278, 4, 99, 99, 4, 3300, 171510, 232338, 7264, 4, 17, 17, 5, 3300, 171493, 232319, 7262, 4, 3, 3, 6, 3300, 171490, 232315, 7261, 4, 0, 0]"
3400,"[6, 0, 3400, 198414, 264293, 9131, 12, 15674, 15368, 1, 3400, 183046, 247691, 7894, 9, 2621, 2610, 2, 3400, 180436, 244894, 7706, 8, 527, 526, 3, 3400, 179910, 244326, 7664, 8, 119, 119, 4, 3400, 179791, 244196, 7653, 8, 37, 37, 5, 3400, 179754, 244155, 7649, 8, 8, 8, 6, 3400, 179746, 244146, 7648, 8, 0, 0]"
3500,"[7, 0, 3500, 206336, 272050, 9108, 7, 16893, 16525, 1, 3500, 189811, 254222, 7804, 6, 2885, 2881, 2, 3500, 186930, 251141, 7604, 6, 544, 543, 3, 3500, 186387, 250563, 7569, 6, 107, 107, 4, 3500, 186280, 250451, 7564, 6, 22, 22, 5, 3500, 186258, 250426, 7561, 6, 4, 4, 6, 3500, 186254, 250422, 7561, 6, 1, 1, 7, 3500, 186253, 250421, 7561, 6, 0, 0]"
3600,"[8, 0, 3600, 216568, 288972, 9655, 10, 16974, 16647, 1, 3600, 199921, 271087, 8413, 6, 2791, 2778, 2, 3600, 197143, 268116, 8220, 6, 569, 568, 3, 3600, 196575, 267497, 8169, 6, 117, 117, 4, 3600, 196458, 267366, 8155, 6, 26, 26, 5, 3600, 196432, 267339, 8154, 6, 6, 6, 6, 3600, 196426, 267333, 8154, 6, 1, 1, 7, 3600, 196425, 267332, 8154, 6, 1, 1, 8, 3600, 196424, 267331, 8154, 6, 0, 0]"
